Package_Pin,FPGA_Pin_Name,Assigned_Function,Type,Side,Style,Bank,Voltage,Status,Description
TBD,TBD,CLK_SYS_IN,Input,Left,Line,TBD,1.8V,UNVERIFIED,Primary clock input; must use official clock-capable QFN72 site
TBD,TBD,RST_N,Input,Left,Line,TBD,1.8V,UNVERIFIED,Board/FPGA logic reset input; weak pull-up planned
TBD,TBD,IPOD_RESET_N,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod LCD reset line
TBD,TBD,IPOD_WR_N,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod LCD bus write strobe (/WR)
TBD,TBD,IPOD_CS_N,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod LCD bus chip select (/CS)
TBD,TBD,IPOD_RS,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod LCD register select (RS)
TBD,TBD,IPOD_RD_N,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod LCD read strobe (/RD); routed for future emulation/debug
TBD,TBD,IPOD_DB0,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 0
TBD,TBD,IPOD_DB1,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 1
TBD,TBD,IPOD_DB2,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 2
TBD,TBD,IPOD_DB3,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 3
TBD,TBD,IPOD_DB4,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 4
TBD,TBD,IPOD_DB5,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 5
TBD,TBD,IPOD_DB6,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 6
TBD,TBD,IPOD_DB7,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 7
TBD,TBD,IPOD_DB8,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 8
TBD,TBD,IPOD_DB9,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 9
TBD,TBD,IPOD_DB10,Input,Left,Line,TBD,1.8V,UNVERIFIED,iPod parallel data bit 10
